x-axis,1,2,3
second,Volt,Volt,Volt
-19.5000E-06,+112.4999523E-03,-75.0000477E-03,+112.5001907E-03
-19.3000E-06,-12.5000477E-03,-75.0000477E-03,+112.5001907E-03
-19.1000E-06,-43.7500477E-03,-106.2500477E-03,+143.7501907E-03
-18.9000E-06,-12.5000477E-03,-106.2500477E-03,+143.7501907E-03
-18.7000E-06,-12.5000477E-03,-106.2500477E-03,+112.5001907E-03
-18.5000E-06,+18.7499523E-03,-75.0000477E-03,+112.5001907E-03
-18.3000E-06,+49.9999523E-03,-43.7500477E-03,+112.5001907E-03
-18.1000E-06,+18.7499523E-03,-75.0000477E-03,+143.7501907E-03
-17.9000E-06,-12.5000477E-03,-43.7500477E-03,+112.5001907E-03
-17.7000E-06,+18.7499523E-03,-12.5000477E-03,+50.0001907E-03
-17.5000E-06,+18.7499523E-03,-12.5000477E-03,+112.5001907E-03
-17.3000E-06,-12.5000477E-03,-43.7500477E-03,+143.7501907E-03
-17.1000E-06,-12.5000477E-03,-43.7500477E-03,+112.5001907E-03
-16.9000E-06,-12.5000477E-03,-43.7500477E-03,+112.5001907E-03
-16.7000E-06,+18.7499523E-03,-75.0000477E-03,+112.5001907E-03
-16.5000E-06,+18.7499523E-03,-106.2500477E-03,+112.5001907E-03
-16.3000E-06,+18.7499523E-03,-106.2500477E-03,+143.7501907E-03
-16.1000E-06,+18.7499523E-03,-106.2500477E-03,+143.7501907E-03
-15.9000E-06,+18.7499523E-03,-106.2500477E-03,+143.7501907E-03
-15.7000E-06,+18.7499523E-03,-43.7500477E-03,+175.0001907E-03
-15.5000E-06,-12.5000477E-03,-43.7500477E-03,+175.0001907E-03
-15.3000E-06,-12.5000477E-03,-43.7500477E-03,+175.0001907E-03
-15.1000E-06,-12.5000477E-03,-43.7500477E-03,+143.7501907E-03
-14.9000E-06,-12.5000477E-03,+1.6437499523E+00,+112.5001907E-03
-14.7000E-06,-12.5000477E-03,+3.3624999523E+00,+112.5001907E-03
-14.5000E-06,-12.5000477E-03,+3.3624999523E+00,+143.7501907E-03
-14.3000E-06,+18.7499523E-03,+3.3624999523E+00,+143.7501907E-03
-14.1000E-06,+18.7499523E-03,+3.3312499523E+00,+112.5001907E-03
-13.9000E-06,-12.5000477E-03,+3.3312499523E+00,+112.5001907E-03
-13.7000E-06,-12.5000477E-03,+3.3624999523E+00,+112.5001907E-03
-13.5000E-06,+18.7499523E-03,+3.3624999523E+00,+143.7501907E-03
-13.3000E-06,+49.9999523E-03,+3.3312499523E+00,+143.7501907E-03
-13.1000E-06,+18.7499523E-03,+3.2999999523E+00,+112.5001907E-03
-12.9000E-06,+18.7499523E-03,+3.3312499523E+00,+112.5001907E-03
-12.7000E-06,+49.9999523E-03,+3.3312499523E+00,+112.5001907E-03
-12.5000E-06,+49.9999523E-03,+3.2999999523E+00,+112.5001907E-03
-12.3000E-06,+18.7499523E-03,+3.3312499523E+00,+143.7501907E-03
-12.1000E-06,+18.7499523E-03,+3.3624999523E+00,+175.0001907E-03
-11.9000E-06,+49.9999523E-03,+3.3312499523E+00,+143.7501907E-03
-11.7000E-06,+49.9999523E-03,+3.2999999523E+00,+112.5001907E-03
-11.5000E-06,+81.2499523E-03,+3.2999999523E+00,+112.5001907E-03
-11.3000E-06,+112.4999523E-03,+3.2999999523E+00,+112.5001907E-03
-11.1000E-06,+49.9999523E-03,+3.2999999523E+00,+112.5001907E-03
-10.9000E-06,+18.7499523E-03,+3.2999999523E+00,+112.5001907E-03
-10.7000E-06,+18.7499523E-03,+3.2999999523E+00,+112.5001907E-03
-10.5000E-06,+18.7499523E-03,+3.3312499523E+00,+112.5001907E-03
-10.3000E-06,+18.7499523E-03,+3.3624999523E+00,+112.5001907E-03
-10.1000E-06,+18.7499523E-03,+3.3624999523E+00,+112.5001907E-03
-9.9000E-06,+18.7499523E-03,+1.6124999523E+00,+112.5001907E-03
-9.7000E-06,-12.5000477E-03,-137.5000477E-03,+112.5001907E-03
-9.5000E-06,-12.5000477E-03,-137.5000477E-03,+112.5001907E-03
-9.3000E-06,+18.7499523E-03,-137.5000477E-03,+112.5001907E-03
-9.1000E-06,+18.7499523E-03,-106.2500477E-03,+143.7501907E-03
-8.9000E-06,+18.7499523E-03,-43.7500477E-03,+143.7501907E-03
-8.7000E-06,+18.7499523E-03,-43.7500477E-03,+112.5001907E-03
-8.5000E-06,-12.5000477E-03,-43.7500477E-03,+112.5001907E-03
-8.3000E-06,+49.9999523E-03,-75.0000477E-03,+112.5001907E-03
-8.1000E-06,+49.9999523E-03,-106.2500477E-03,+112.5001907E-03
-7.9000E-06,+18.7499523E-03,-75.0000477E-03,+112.5001907E-03
-7.7000E-06,+18.7499523E-03,-75.0000477E-03,+112.5001907E-03
-7.5000E-06,+18.7499523E-03,-75.0000477E-03,+112.5001907E-03
-7.3000E-06,+49.9999523E-03,-75.0000477E-03,+143.7501907E-03
-7.1000E-06,+18.7499523E-03,-75.0000477E-03,+143.7501907E-03
-6.9000E-06,+18.7499523E-03,-43.7500477E-03,+112.5001907E-03
-6.7000E-06,+18.7499523E-03,-12.5000477E-03,+112.5001907E-03
-6.5000E-06,-12.5000477E-03,-43.7500477E-03,+112.5001907E-03
-6.3000E-06,+18.7499523E-03,-43.7500477E-03,+112.5001907E-03
-6.1000E-06,-12.5000477E-03,-43.7500477E-03,+112.5001907E-03
-5.9000E-06,-43.7500477E-03,-75.0000477E-03,+112.5001907E-03
-5.7000E-06,+18.7499523E-03,-106.2500477E-03,+112.5001907E-03
-5.5000E-06,+49.9999523E-03,-137.5000477E-03,+143.7501907E-03
-5.3000E-06,+18.7499523E-03,-106.2500477E-03,+143.7501907E-03
